2024-08-05 16:11:39,841 - Training started for class: carpet
2024-08-05 16:12:19,987 - Epoch [1/200], Loss: 1.2202
2024-08-05 16:12:55,168 - Epoch [2/200], Loss: 0.7838
2024-08-05 16:13:28,784 - Epoch [3/200], Loss: 0.6470
2024-08-05 16:14:03,366 - Epoch [4/200], Loss: 0.5950
2024-08-05 16:14:35,751 - Epoch [5/200], Loss: 0.5625
2024-08-05 16:15:07,487 - Epoch [6/200], Loss: 0.5131
2024-08-05 16:15:36,401 - Epoch [7/200], Loss: 0.4921
2024-08-05 16:16:04,314 - Epoch [8/200], Loss: 0.4615
2024-08-05 16:16:31,689 - Epoch [9/200], Loss: 0.4645
2024-08-05 16:17:02,342 - Epoch [10/200], Loss: 0.4430
2024-08-05 16:18:08,801 - Pixel Auroc: 0.973, Sample Auroc: 0.967, Pixel Aupro: 0.970
2024-08-05 16:18:40,072 - Epoch [11/200], Loss: 0.4183
2024-08-05 16:19:11,590 - Epoch [12/200], Loss: 0.4031
2024-08-05 16:19:44,340 - Epoch [13/200], Loss: 0.3970
2024-08-05 16:20:16,685 - Epoch [14/200], Loss: 0.4048
2024-08-05 16:20:46,366 - Epoch [15/200], Loss: 0.3860
2024-08-05 16:21:17,428 - Epoch [16/200], Loss: 0.3827
2024-08-05 16:21:46,509 - Epoch [17/200], Loss: 0.4106
2024-08-05 16:22:13,577 - Epoch [18/200], Loss: 0.4492
2024-08-05 16:22:45,009 - Epoch [19/200], Loss: 0.3913
2024-08-05 16:23:23,748 - Epoch [20/200], Loss: 0.3915
2024-08-05 16:24:38,773 - Pixel Auroc: 0.990, Sample Auroc: 0.999, Pixel Aupro: 0.973
2024-08-05 16:25:22,420 - Epoch [21/200], Loss: 0.3956
2024-08-05 16:25:56,216 - Epoch [22/200], Loss: 0.3750
2024-08-05 16:26:24,461 - Epoch [23/200], Loss: 0.3811
2024-08-05 16:27:00,525 - Epoch [24/200], Loss: 0.3689
2024-08-05 16:27:39,294 - Epoch [25/200], Loss: 0.3632
2024-08-05 16:28:19,615 - Epoch [26/200], Loss: 0.3699
2024-08-05 16:28:58,158 - Epoch [27/200], Loss: 0.4198
2024-08-05 16:29:37,168 - Epoch [28/200], Loss: 0.3863
2024-08-05 16:30:13,090 - Epoch [29/200], Loss: 0.3721
2024-08-05 16:30:41,144 - Epoch [30/200], Loss: 0.3631
2024-08-05 16:31:45,231 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.973
2024-08-05 16:32:27,494 - Epoch [31/200], Loss: 0.3637
2024-08-05 16:33:08,737 - Epoch [32/200], Loss: 0.3596
2024-08-05 16:33:48,385 - Epoch [33/200], Loss: 0.3596
2024-08-05 16:34:22,942 - Epoch [34/200], Loss: 0.3565
2024-08-05 16:34:51,249 - Epoch [35/200], Loss: 0.3912
2024-08-05 16:35:28,341 - Epoch [36/200], Loss: 0.3949
2024-08-05 16:36:09,845 - Epoch [37/200], Loss: 0.3711
2024-08-05 16:36:47,254 - Epoch [38/200], Loss: 0.3595
2024-08-05 16:37:25,825 - Epoch [39/200], Loss: 0.3725
2024-08-05 16:38:05,640 - Epoch [40/200], Loss: 0.3627
2024-08-05 16:38:54,122 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.973
2024-08-05 16:39:42,531 - Epoch [41/200], Loss: 0.3549
2024-08-05 16:40:23,477 - Epoch [42/200], Loss: 0.3501
2024-08-05 16:41:03,621 - Epoch [43/200], Loss: 0.3494
2024-08-05 16:41:42,262 - Epoch [44/200], Loss: 0.3475
2024-08-05 16:42:20,382 - Epoch [45/200], Loss: 0.3460
2024-08-05 16:42:53,244 - Epoch [46/200], Loss: 0.3452
2024-08-05 16:43:21,263 - Epoch [47/200], Loss: 0.3443
2024-08-05 16:44:00,015 - Epoch [48/200], Loss: 0.3418
2024-08-05 16:44:41,403 - Epoch [49/200], Loss: 0.3402
2024-08-05 16:45:20,646 - Epoch [50/200], Loss: 0.3399
2024-08-05 16:46:35,037 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 16:47:07,062 - Epoch [51/200], Loss: 0.3397
2024-08-05 16:47:39,034 - Epoch [52/200], Loss: 0.3855
2024-08-05 16:48:19,446 - Epoch [53/200], Loss: 0.3585
2024-08-05 16:48:58,109 - Epoch [54/200], Loss: 0.3499
2024-08-05 16:49:38,346 - Epoch [55/200], Loss: 0.3438
2024-08-05 16:50:17,504 - Epoch [56/200], Loss: 0.3396
2024-08-05 16:50:56,569 - Epoch [57/200], Loss: 0.3297
2024-08-05 16:51:24,258 - Epoch [58/200], Loss: 0.3262
2024-08-05 16:51:54,612 - Epoch [59/200], Loss: 0.3246
2024-08-05 16:52:33,550 - Epoch [60/200], Loss: 0.3311
2024-08-05 16:53:48,483 - Pixel Auroc: 0.989, Sample Auroc: 1.000, Pixel Aupro: 0.971
2024-08-05 16:54:32,568 - Epoch [61/200], Loss: 0.3285
2024-08-05 16:55:07,023 - Epoch [62/200], Loss: 0.3219
2024-08-05 16:55:35,820 - Epoch [63/200], Loss: 0.3461
2024-08-05 16:56:10,418 - Epoch [64/200], Loss: 0.3316
2024-08-05 16:56:49,724 - Epoch [65/200], Loss: 0.3246
2024-08-05 16:57:28,644 - Epoch [66/200], Loss: 0.3225
2024-08-05 16:58:09,986 - Epoch [67/200], Loss: 0.3422
2024-08-05 16:58:47,005 - Epoch [68/200], Loss: 0.3251
2024-08-05 16:59:25,043 - Epoch [69/200], Loss: 0.3183
2024-08-05 16:59:52,873 - Epoch [70/200], Loss: 0.3161
2024-08-05 17:00:57,406 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 17:01:40,580 - Epoch [71/200], Loss: 0.3145
2024-08-05 17:02:17,548 - Epoch [72/200], Loss: 0.3138
2024-08-05 17:02:55,721 - Epoch [73/200], Loss: 0.3109
2024-08-05 17:03:29,390 - Epoch [74/200], Loss: 0.3093
2024-08-05 17:03:57,724 - Epoch [75/200], Loss: 0.3085
2024-08-05 17:04:30,513 - Epoch [76/200], Loss: 0.3068
2024-08-05 17:05:11,914 - Epoch [77/200], Loss: 0.3057
2024-08-05 17:05:49,830 - Epoch [78/200], Loss: 0.3048
