2024-08-01 16:13:34,578 - Training started for class: carpet
2024-08-01 16:14:12,017 - Epoch [1/200], Loss: 0.9036
2024-08-01 16:14:40,876 - Epoch [2/200], Loss: 0.4100
2024-08-01 16:15:10,438 - Epoch [3/200], Loss: 0.3380
2024-08-01 16:15:40,153 - Epoch [4/200], Loss: 0.2984
2024-08-01 16:16:10,168 - Epoch [5/200], Loss: 0.3018
2024-08-01 16:16:40,218 - Epoch [6/200], Loss: 0.2711
2024-08-01 16:17:09,875 - Epoch [7/200], Loss: 0.2555
2024-08-01 16:17:38,395 - Epoch [8/200], Loss: 0.2500
2024-08-01 16:18:06,755 - Epoch [9/200], Loss: 0.2381
2024-08-01 16:18:35,583 - Epoch [10/200], Loss: 0.2319
2024-08-01 16:19:42,186 - Pixel Auroc: 0.985, Sample Auroc: 0.997, Pixel Aupro: 0.985
2024-08-01 16:20:13,338 - Epoch [11/200], Loss: 0.2299
2024-08-01 16:20:43,795 - Epoch [12/200], Loss: 0.2295
2024-08-01 16:21:17,378 - Epoch [13/200], Loss: 0.2269
2024-08-01 16:21:53,213 - Epoch [14/200], Loss: 0.2332
2024-08-01 16:22:23,295 - Epoch [15/200], Loss: 0.2254
2024-08-01 16:22:54,995 - Epoch [16/200], Loss: 0.2292
2024-08-01 16:23:26,502 - Epoch [17/200], Loss: 0.2245
2024-08-01 16:23:59,908 - Epoch [18/200], Loss: 0.2262
2024-08-01 16:24:30,890 - Epoch [19/200], Loss: 0.3347
2024-08-01 16:24:59,738 - Epoch [20/200], Loss: 0.2382
2024-08-01 16:26:03,541 - Pixel Auroc: 0.987, Sample Auroc: 0.998, Pixel Aupro: 0.987
2024-08-01 16:26:36,451 - Epoch [21/200], Loss: 0.2278
2024-08-01 16:27:07,150 - Epoch [22/200], Loss: 0.2264
2024-08-01 16:27:39,399 - Epoch [23/200], Loss: 0.2246
2024-08-01 16:28:11,525 - Epoch [24/200], Loss: 0.2248
2024-08-01 16:28:44,410 - Epoch [25/200], Loss: 0.2291
2024-08-01 16:29:13,775 - Epoch [26/200], Loss: 0.2239
2024-08-01 16:29:42,929 - Epoch [27/200], Loss: 0.2239
2024-08-01 16:30:12,060 - Epoch [28/200], Loss: 0.2240
2024-08-01 16:30:39,866 - Epoch [29/200], Loss: 0.2228
2024-08-01 16:31:08,566 - Epoch [30/200], Loss: 0.2226
2024-08-01 16:32:09,561 - Pixel Auroc: 0.987, Sample Auroc: 0.998, Pixel Aupro: 0.987
2024-08-01 16:32:40,907 - Epoch [31/200], Loss: 0.2229
2024-08-01 16:33:17,920 - Epoch [32/200], Loss: 0.2215
2024-08-01 16:33:50,799 - Epoch [33/200], Loss: 0.2223
2024-08-01 16:34:21,982 - Epoch [34/200], Loss: 0.2220
2024-08-01 16:34:54,636 - Epoch [35/200], Loss: 0.2221
2024-08-01 16:35:31,330 - Epoch [36/200], Loss: 0.2217
2024-08-01 16:36:01,156 - Epoch [37/200], Loss: 0.2214
2024-08-01 16:36:33,465 - Epoch [38/200], Loss: 0.2215
2024-08-01 16:37:06,346 - Epoch [39/200], Loss: 0.2221
